Apr 16 19:46:51.876 [INFO] zmap: output module: csv
Starting module. Packet out size: 66
Apr 16 19:46:51.883 [INFO] recv: Data link layer Ethernet
 0:58 1% (1h03m left); send: 1495749 23.9 Kp/s (25.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:59 2% (1h03m left); send: 1520409 24.7 Kp/s (25.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:00 2% (1h04m left); send: 1542511 22.1 Kp/s (25.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:01 2% (1h04m left); send: 1566078 23.6 Kp/s (25.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:02 2% (1h04m left); send: 1588990 22.9 Kp/s (25.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:03 2% (1h04m left); send: 1616428 27.4 Kp/s (25.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:04 2% (1h04m left); send: 1639952 23.5 Kp/s (25.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:05 2% (1h03m left); send: 1669057 29.1 Kp/s (25.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:06 2% (1h03m left); send: 1694993 25.9 Kp/s (25.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:07 2% (1h03m left); send: 1721516 26.5 Kp/s (25.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:08 2% (1h03m left); send: 1747573 26.0 Kp/s (25.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:09 2% (1h03m left); send: 1775654 28.1 Kp/s (25.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:10 2% (1h03m left); send: 1798885 23.2 Kp/s (25.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:11 2% (1h04m left); send: 1816311 17.4 Kp/s (25.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:12 2% (1h04m left); send: 1834944 18.6 Kp/s (25.5 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:13 2% (1h04m left); send: 1855849 20.9 Kp/s (25.4 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:14 2% (1h04m left); send: 1877502 21.6 Kp/s (25.4 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:15 2% (1h04m left); send: 1899222 21.7 Kp/s (25.3 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:16 2% (1h04m left); send: 1923413 24.2 Kp/s (25.3 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:17 2% (1h04m left); send: 1943999 20.6 Kp/s (25.2 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:18 2% (1h04m left); send: 1967170 23.2 Kp/s (25.2 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:19 2% (1h05m left); send: 1990536 23.4 Kp/s (25.2 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:20 2% (1h05m left); send: 2013845 23.3 Kp/s (25.2 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:21 2% (1h05m left); send: 2035363 21.5 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:22 2% (1h05m left); send: 2056383 21.0 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:23 2% (1h05m left); send: 2078221 21.8 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:24 2% (1h05m left); send: 2099815 21.6 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:25 2% (1h05m left); send: 2122378 22.6 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:26 2% (1h05m left); send: 2152074 29.7 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:27 2% (1h05m left); send: 2173311 21.2 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:28 2% (1h05m left); send: 2194772 21.5 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:29 2% (1h05m left); send: 2221001 26.2 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:30 2% (1h05m left); send: 2246846 25.8 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:31 2% (1h05m left); send: 2274132 27.3 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:32 2% (1h05m left); send: 2299951 25.8 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:33 2% (1h05m left); send: 2326675 26.7 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:34 2% (1h05m left); send: 2355567 28.9 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:35 2% (1h05m left); send: 2382404 26.8 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:36 2% (1h04m left); send: 2408723 26.3 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:37 2% (1h04m left); send: 2435069 26.3 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:38 2% (1h04m left); send: 2457939 22.8 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:39 2% (1h05m left); send: 2481399 23.5 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:40 3% (1h04m left); send: 2508344 26.9 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:41 3% (1h04m left); send: 2535912 27.6 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:42 3% (1h04m left); send: 2560723 24.8 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:43 3% (1h04m left); send: 2586451 25.7 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:44 3% (1h04m left); send: 2612074 25.6 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:45 3% (1h04m left); send: 2636511 24.4 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:46 3% (1h04m left); send: 2662057 25.5 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:47 3% (1h04m left); send: 2683263 21.2 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:48 3% (1h04m left); send: 2705215 21.9 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:49 3% (1h04m left); send: 2727635 22.4 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
