Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,[TCP:reserved:1]-duplicate-|,1,[-10]
-10.0,"[TCP:options-wscale:49]-tamper{TCP:reserved:replace:1}(tamper{TCP:options-sack:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-wscale:135:1]-tamper{TCP:dport:corrupt}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:options-mss:43548]-tamper{TCP:options-sackok:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:dataofs:6]-duplicate-|,1,[-10]
-10.0,"[TCP:flags:RPAUEN]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-10]
-10.0,[TCP:options-altchksum:195]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:window:110]-fragment{tcp:58:False}(,tamper{TCP:options-nop:corrupt})-|",1,[-10]
-10.0,"[TCP:flags:RA]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:options-sack:]-tamper{TCP:seq:corrupt}(tamper{TCP:urgptr:corrupt},)-|[TCP:dport:65446]-tamper{TCP:options-wscale:corrupt}-|",1,[-10]
-10.0,[TCP:chksum:2909:3]-duplicate-|,1,[-10]
-10.0,[TCP:flags:F:4]-drop-|,1,[-10]
-10.0,[TCP:options-timestamp:1136698324]-duplicate-|,1,[-10]
-10.0,[TCP:urgptr:18582]-duplicate-|,1,[-10]
-10.0,"[TCP:options-uto:89]-tamper{TCP:options-mss:corrupt}(tamper{TCP:urgptr:corrupt}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:options-wscale:153]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-altchksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:urgptr:50429]-fragment{tcp:-1:False}(,tamper{TCP:sport:replace:18638}(duplicate,))-|",1,[-10]
-10.0,"[TCP:options-uto:22]-duplicate(tamper{TCP:options-md5header:replace:80cdf75eb84597a3558018c1a0117c3f},)-|",1,[-10]
-10.0,[TCP:options-mss:57962:3]-tamper{TCP:seq:corrupt}-|,1,[-10]
-10.0,[TCP:reserved:2]-tamper{TCP:window:corrupt}-|,1,[-10]
-10.0,"[TCP:dport:12231:1]-duplicate(tamper{TCP:seq:corrupt},)-|",1,[-10]
-10.0,[TCP:urgptr:27381]-drop-|[TCP:options-altchksumopt::0]-tamper{TCP:options-timestamp:corrupt}-|,1,[-10]
-10.0,"[TCP:options-uto:131]-duplicate(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:sport:36920]-tamper{TCP:dataofs:replace:15}(tamper{TCP:window:replace:80},)-|",1,[-10]
-10.0,"[TCP:seq:1421781506:0]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:urgptr:58253]-duplicate(,tamper{TCP:options-nop:corrupt})-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-fragment{tcp:-1:True}(duplicate(tamper{TCP:options-altchksum:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-mss:38455]-tamper{TCP:options-nop:replace:}(duplicate(tamper{TCP:urgptr:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-timestamp:2181958555]-duplicate(tamper{TCP:options-altchksum:replace:194},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:203]-tamper{TCP:dataofs:corrupt}(fragment{tcp:-1:False}(,fragment{tcp:-1:True}),)-|",1,[-10]
-10.0,"[TCP:options-eol:]-tamper{TCP:options-wscale:replace:115}(tamper{TCP:options-timestamp:replace:967958345},)-|[TCP:chksum:44812]-duplicate-|",1,[-10]
-10.0,"[TCP:options-altchksum:232:1]-tamper{TCP:options-sack:corrupt}(duplicate(duplicate,),)-|",1,[-10]
-10.0,[TCP:options-timestamp:1311488455]-tamper{TCP:ack:replace:3496074968}-|,1,[-10]
-10.0,"[TCP:chksum:53512]-tamper{TCP:options-altchksum:corrupt}(tamper{TCP:seq:replace:3807130487},)-|",1,[-10]
