Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,[TCP:options-md5header:475e712e705770722f080cd2f31e1326]-duplicate-|,1,[-10]
-10.0,"[TCP:window:160]-tamper{TCP:chksum:replace:13410}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-timestamp:676221764]-tamper{TCP:dport:corrupt}-|,1,[-10]
-10.0,[TCP:urgptr:4402:1]-tamper{TCP:seq:corrupt}-|,1,[-10]
-10.0,[TCP:sport:11256:4]-tamper{TCP:sport:corrupt}-|,1,[-10]
-10.0,"[TCP:urgptr:10034]-tamper{TCP:dport:replace:22592}(duplicate,)-|",1,[-10]
-10.0,[TCP:chksum:10272:3]-tamper{TCP:window:replace:140}-|,1,[-10]
-10.0,[TCP:window:150]-duplicate-|,1,[-10]
-10.0,[TCP:options-wscale:68]-tamper{TCP:options-altchksumopt:replace:}-|,1,[-10]
-10.0,"[TCP:options-md5header:e14fe0d8fcff7216b269ef5ee8f0b9a8]-tamper{TCP:dataofs:corrupt}(tamper{TCP:ack:corrupt},)-|",1,[-10]
-10.0,"[TCP:chksum:28588:1]-fragment{tcp:-1:False}(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,"[TCP:ack:2856989071:2]-tamper{TCP:options-nop:corrupt}(tamper{TCP:options-timestamp:replace:557238204},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:137]-tamper{TCP:window:replace:100}(duplicate(tamper{TCP:reserved:replace:2},drop),)-|",1,[-10]
-10.0,[TCP:options-timestamp:1167520579]-duplicate-|,1,[-10]
-10.0,"[TCP:options-timestamp:1530204931]-duplicate(,tamper{TCP:chksum:corrupt})-|",1,[-10]
-10.0,[TCP:options-uto:122:2]-duplicate-|,1,[-10]
-10.0,"[TCP:ack:1866085183]-fragment{tcp:-1:True}(duplicate(tamper{TCP:sport:corrupt},),)-|",1,[-10]
-10.0,"[TCP:load:qzjip5n7l3:3]-tamper{TCP:chksum:corrupt}(tamper{TCP:chksum:replace:1871},)-|",1,[-10]
-10.0,"[TCP:options-uto:59]-duplicate(duplicate,)-|",1,[-10]
-10.0,[TCP:options-wscale:59]-tamper{TCP:seq:replace:2699481542}-|,1,[-10]
-10.0,[TCP:options-altchksum:73]-tamper{TCP:reserved:replace:0}-|,1,[-10]
-10.0,"[TCP:options-altchksum:112]-tamper{TCP:dataofs:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:dataofs:9]-tamper{TCP:dport:replace:56021}(drop,)-|",1,[-10]
-10.0,[TCP:urgptr:36769]-tamper{TCP:options-altchksum:replace:9}-|,1,[-10]
-10.0,"[TCP:reserved:6]-duplicate(tamper{TCP:options-uto:corrupt},fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:reserved:7]-tamper{TCP:seq:replace:3215031247}(tamper{TCP:reserved:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:176]-tamper{TCP:options-wscale:corrupt}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:flags:FPUECN]-tamper{TCP:ack:replace:323494105}-|,1,[-10]
-10.0,"[TCP:options-sack:]-tamper{TCP:options-uto:corrupt}(tamper{TCP:options-md5header:corrupt},)-|[TCP:urgptr:51601]-fragment{tcp:-1:True}-|",1,[-10]
-10.0,"[TCP:dataofs:6]-tamper{TCP:options-sack:corrupt}(tamper{TCP:window:replace:140},)-|",1,[-10]
-10.0,"[TCP:dataofs:12:0]-tamper{TCP:options-sack:corrupt}(duplicate(tamper{TCP:options-eol:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-md5header:9e636bda3fbdcaebd1c68d7a03774810]-tamper{TCP:reserved:replace:5}(duplicate,)-|[TCP:options-sack:]-tamper{TCP:options-md5header:corrupt}-|",1,[-10]
-10.0,"[TCP:urgptr:42641]-tamper{TCP:options-sack:corrupt}(fragment{tcp:-1:False}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:sport:18834]-duplicate(fragment{tcp:40:True:13},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:226]-tamper{TCP:load:replace:__HTTP_REQUEST__}(tamper{TCP:options-eol:corrupt},)-|",1,[-10]
-10.0,"[TCP:sport:14356]-tamper{TCP:load:replace:9sf2dz22yz}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-mss:26582]-tamper{TCP:options-sack:replace:}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:options-wscale:36:3]-tamper{TCP:load:corrupt}(tamper{TCP:ack:replace:1489097136}(tamper{TCP:urgptr:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-sack::0]-duplicate(,tamper{TCP:options-sackok:corrupt})-|",1,[-10]
-10.0,"[TCP:options-wscale:35]-tamper{TCP:options-mss:replace:8790}(tamper{TCP:options-uto:corrupt},)-|",1,[-10]
-10.0,"[TCP:urgptr:16043:4]-tamper{TCP:options-uto:replace:243}(drop,)-|",1,[-10]
-10.0,"[TCP:flags:RUN]-tamper{TCP:sport:corrupt}(tamper{TCP:ack:replace:654564258},)-|",1,[-10]
-10.0,"[TCP:sport:41047]-tamper{TCP:dataofs:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:flags:FSAEN:0]-tamper{TCP:options-sack:corrupt}(tamper{TCP:dport:replace:20573},)-|",1,[-10]
-10.0,"[TCP:dport:13139]-tamper{TCP:load:corrupt}(tamper{TCP:options-timestamp:corrupt},)-|",1,[-10]
-10.0,[TCP:window:70]-fragment{tcp:-1:False}-|[TCP:options-eol:]-tamper{TCP:options-mss:replace:13833}-|,1,[-10]
-10.0,"[TCP:options-wscale:194:3]-duplicate(,duplicate(,duplicate))-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-fragment{tcp:-1:False}(tamper{TCP:options-uto:corrupt},)-|",1,[-10]
-10.0,[TCP:options-wscale:153]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:window:160:4]-duplicate-|,1,[-10]
-10.0,"[TCP:options-uto:228]-duplicate(tamper{TCP:options-altchksum:corrupt},)-|",1,[-10]
-10.0,[TCP:options-altchksum:241]-duplicate-|,1,[-10]
-10.0,"[TCP:options-timestamp:3166875458:3]-duplicate(,tamper{TCP:options-sackok:corrupt})-|",1,[-10]
-10.0,[TCP:options-timestamp:3566781274]-tamper{TCP:seq:corrupt}-|,1,[-10]
-10.0,"[TCP:options-altchksum:68]-duplicate(fragment{tcp:-1:True}(,duplicate),)-|",1,[-10]
-10.0,"[TCP:options-md5header:09ab57d38b6e72a936f12a5e9ad00457]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:sport:corrupt}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:dataofs:11]-duplicate(tamper{TCP:dport:corrupt},)-|",1,[-10]
-10.0,"[TCP:reserved:2]-duplicate(tamper{TCP:window:replace:40},duplicate)-|",1,[-10]
-10.0,"[TCP:options-wscale:47]-tamper{TCP:options-uto:corrupt}(tamper{TCP:ack:corrupt},)-|",1,[-10]
-10.0,"[TCP:flags:FSACN]-fragment{tcp:-1:False}(tamper{TCP:urgptr:replace:46863}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:options-altchksum:43]-duplicate(,tamper{TCP:window:replace:140})-|",1,[-10]
-10.0,"[TCP:load:]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:options-md5header:197917515dd3800e131563696216f29a]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:urgptr:56452]-duplicate(duplicate(tamper{TCP:options-nop:replace:},),)-|",1,[-10]
-10.0,"[TCP:ack:2134936255:1]-tamper{TCP:seq:replace:959129437}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:dport:11675]-tamper{TCP:sport:corrupt}(tamper{TCP:options-nop:replace:},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:192:4]-tamper{TCP:urgptr:replace:57782}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-uto:170]-tamper{TCP:urgptr:replace:56144}-|,1,[-10]
-10.0,"[TCP:urgptr:27823:3]-duplicate(tamper{TCP:options-altchksum:corrupt},fragment{tcp:-1:False})-|",1,[-10]
-10.0,[TCP:ack:2294933032:2]-tamper{TCP:options-md5header:replace:d999fa4bba3e8f0f6b831627e49fd509}-|,1,[-10]
-10.0,"[TCP:window:170]-fragment{tcp:-1:True}(tamper{TCP:load:corrupt},duplicate)-|",1,[-10]
-10.0,"[TCP:urgptr:64731]-fragment{tcp:-1:True}(tamper{TCP:sport:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-md5header:5d3efdace3e3da0f0165f12885dfa5f5]-tamper{TCP:options-nop:replace:}(fragment{tcp:-1:False}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:chksum:31690]-duplicate(,fragment{tcp:-1:True}(,tamper{TCP:options-md5header:corrupt}))-|",1,[-10]
-10.0,[TCP:options-uto:13:0]-tamper{TCP:options-sack:corrupt}-|,1,[-10]
-10.0,"[TCP:options-altchksum:49]-duplicate(,tamper{TCP:options-wscale:corrupt})-|",1,[-10]
-10.0,"[TCP:options-md5header:6546bd3e11f9111324220f843a522597]-duplicate(fragment{tcp:33:True},)-|",1,[-10]
-10.0,[TCP:options-wscale:147:3]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:options-mss:27466]-tamper{TCP:reserved:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:dport:2255:1]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:ack:3707003527]-tamper{TCP:dataofs:corrupt}-|,1,[-10]
-10.0,"[TCP:window:90]-duplicate(tamper{TCP:reserved:replace:6},)-|",1,[-10]
-10.0,"[TCP:dport:64654]-duplicate(duplicate,fragment{tcp:-1:False})-|",1,[-10]
-10.0,"[TCP:dport:28564:0]-fragment{ip:-1:False:6}(tamper{TCP:options-altchksum:replace:130},)-|",1,[-10]
-10.0,[TCP:flags:SUCN]-tamper{TCP:dataofs:corrupt}-|,1,[-10]
