Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:options-uto:71:2]-fragment{tcp:-1:False}(tamper{TCP:options-timestamp:replace:3591464020},duplicate)-|",1,[-10]
-10.0,"[TCP:options-mss:55666]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:dport:27889]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-10]
-10.0,"[TCP:urgptr:19817]-tamper{TCP:sport:replace:44707}(tamper{TCP:options-altchksumopt:corrupt}(duplicate,),)-|",1,[-10]
-10.0,[TCP:options-md5header:30ffd2266636951b5ada7e1374bc0cc2]-tamper{TCP:flags:replace:RUCN}-|,1,[-10]
-10.0,[TCP:sport:31618:1]-tamper{TCP:dataofs:corrupt}-|[TCP:options-eol::1]-tamper{TCP:window:corrupt}-|,1,[-10]
-10.0,[TCP:options-md5header:f9e08ad1324889a55b82ed34fef0f155:2]-drop-|,1,[-10]
-10.0,"[TCP:options-mss:48949]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-10]
-10.0,[TCP:options-md5header:041a9eeec95120cdba1e479668873099:2]-tamper{TCP:flags:replace:SAC}-|,1,[-10]
-10.0,"[TCP:window:150:4]-tamper{TCP:dataofs:corrupt}(tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:options-uto:corrupt},),)-|",1,[-10]
-10.0,[TCP:urgptr:48456]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:urgptr:51258]-duplicate(duplicate(tamper{TCP:window:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-altchksum:191]-tamper{TCP:load:corrupt}(fragment{tcp:-1:True}(duplicate,),)-|",1,[-10]
-10.0,[TCP:options-wscale:137]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-10]
-10.0,[TCP:options-md5header:a7d76e1fd5d623f087e02f30e6dcef6b:3]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,[TCP:seq:3054208965]-tamper{TCP:options-uto:corrupt}-|,1,[-10]
-10.0,[TCP:dataofs:13]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:dataofs:6]-tamper{TCP:reserved:replace:5}-|,1,[-10]
-10.0,"[TCP:options-sack:]-tamper{TCP:options-mss:corrupt}(fragment{tcp:-1:False},)-|[TCP:options-eol:]-tamper{TCP:options-eol:replace:}-|[TCP:seq:3126090310:3]-tamper{TCP:dataofs:replace:6}-|",1,[-10]
-10.0,[TCP:options-mss:10178:2]-duplicate-|,1,[-10]
-10.0,[TCP:reserved:4]-duplicate-|,1,[-10]
-10.0,[TCP:options-mss:34794]-tamper{TCP:load:corrupt}-|,1,[-10]
-10.0,[TCP:options-wscale:173:3]-duplicate-|,1,[-10]
-10.0,[TCP:ack:3017654802]-duplicate-|,1,[-10]
-10.0,"[TCP:options-altchksumopt:]-duplicate(,tamper{TCP:dport:replace:51864}(drop,))-|[TCP:window:40]-duplicate-|",1,[-10]
-10.0,[TCP:load:__DNS_REQUEST__]-tamper{TCP:urgptr:corrupt}-|,1,[-10]
