Strategy DNA,Total Amplifcation,Num Times Generated,Average Amplification
[TCP:options-sack:]-tamper{TCP:options-timestamp:corrupt}-|,1.952,4,0.488
[TCP:options-sackok:]-tamper{TCP:options-nop:corrupt}-|,4.734,4,1.1835
[TCP:options-sackok:]-tamper{TCP:options-altchksumopt:replace:}-|,2.5380000000000003,4,0.6345000000000001
[TCP:options-sackok:]-tamper{TCP:options-sackok:replace:}-|,2.807,4,0.70175
"[TCP:options-sackok:]-duplicate(drop,)-|",5.152,4,1.288
[TCP:options-sack:]-tamper{TCP:window:corrupt}-|,2.74,4,0.685
[TCP:options-eol::0]-fragment{tcp:-1:True}-|,4.023000000000001,4,1.0057500000000001
"[TCP:options-nop:]-duplicate(fragment{tcp:-1:False},)-|",6.559,4,1.63975
[TCP:options-sackok:]-tamper{TCP:flags:corrupt}-|,1.03,4,0.2575
"[TCP:options-sack:]-fragment{tcp:-1:False}(,fragment{tcp:-1:False})-|",4.048,4,1.012
[TCP:options-sackok:]-tamper{TCP:options-nop:replace:}-|,4.433,4,1.10825
"[TCP:options-eol:]-duplicate(,duplicate)-|",2.715,4,0.67875
"[TCP:options-sackok:]-fragment{tcp:-1:True}(drop,)-|",6.949000000000001,4,1.7372500000000002
"[TCP:options-sackok:]-tamper{TCP:load:replace:}(duplicate,)-|",9.0,4,2.25
[TCP:options-sack:]-fragment{ip:-1:False:5}-|,2.514,4,0.6285
[TCP:options-nop:]-tamper{TCP:window:corrupt}-|,6.1,4,1.525
[TCP:options-sack:]-tamper{TCP:flags:replace:FA}-|,18.654999999999998,4,4.663749999999999
"[TCP:options-sack:]-fragment{tcp:-1:False}(drop,)-|",15.927999999999997,4,3.9819999999999993
"[TCP:options-nop:]-tamper{TCP:load:replace:}(duplicate,)-|",47.025000000000006,4,11.756250000000001
[TCP:options-sack:]-tamper{TCP:reserved:corrupt}-|,2.369,4,0.59225
[TCP:load:]-tamper{TCP:options-altchksum:corrupt}-|,1.557,4,0.38925
[TCP:options-eol:]-tamper{TCP:options-md5header:corrupt}-|,1.4849999999999999,4,0.37124999999999997
[TCP:options-nop:]-tamper{TCP:reserved:corrupt}-|,7.378,4,1.8445
[TCP:flags:PA]-fragment{tcp:-1:False}-|,2.133,4,0.53325
[TCP:options-nop:]-tamper{TCP:ack:corrupt}-|,2.4000000000000004,4,0.6000000000000001
"[TCP:options-eol:]-fragment{tcp:-1:False}(,duplicate)-|",4.5920000000000005,4,1.1480000000000001
[TCP:options-eol:]-tamper{TCP:flags:corrupt}-|,3.076,4,0.769
[TCP:options-sackok:]-tamper{TCP:sport:corrupt}-|,0.0,4,0.0
"[TCP:options-nop:]-fragment{tcp:-1:True}(fragment{tcp:-1:False},)-|",5.028,4,1.257
"[TCP:options-nop:]-fragment{tcp:-1:False}(,duplicate)-|",3.1690000000000005,4,0.7922500000000001
"[TCP:options-nop:]-fragment{tcp:-1:False}(fragment{tcp:-1:False},)-|",4.804,4,1.201
[TCP:reserved:2]-duplicate-|,-37.258,4,-9.3145
[TCP:dataofs:10]-fragment{tcp:-1:True}-|,-37.302,4,-9.3255
[TCP:dataofs:8]-duplicate-|,-27.659000000000002,4,-6.914750000000001
[TCP:options-altchksumopt:]-fragment{ip:-1:False}-|,2.077,4,0.51925
[TCP:options-eol:]-tamper{TCP:options-sackok:corrupt}-|,3.1630000000000003,4,0.7907500000000001
[TCP:load:]-fragment{tcp:-1:True}-|,2.229,4,0.55725
"[TCP:options-sack:]-duplicate(drop,)-|",2.736,4,0.684
[TCP:options-sack::0]-fragment{tcp:-1:False}-|,7.361,4,1.84025
"[TCP:options-altchksumopt:]-tamper{TCP:load:replace:}(duplicate,)-|",35.775000000000006,4,8.943750000000001
[TCP:options-sack:]-tamper{TCP:options-sack:replace:}-|,4.4079999999999995,4,1.1019999999999999
"[TCP:options-nop:]-fragment{tcp:-1:True}(,duplicate)-|",7.336,4,1.834
"[TCP:options-sack:]-duplicate(,fragment{tcp:-1:True})-|",7.6419999999999995,4,1.9104999999999999
[TCP:flags:A]-fragment{tcp:-1:False}-|,22.049999999999997,4,5.512499999999999
[TCP:load:__DNS_REQUEST__]-fragment{tcp:-1:False}-|,-46.364000000000004,4,-11.591000000000001
[TCP:options-eol:]-tamper{TCP:dataofs:corrupt}-|,2.003,4,0.50075
