Apr 16 23:51:37.459 [INFO] zmap: output module: csv
Starting module. Packet out size: 106
Apr 16 23:51:37.466 [INFO] recv: Data link layer Ethernet
 0:59 1% (2h08m left); send: 757994 13.0 Kp/s (12.8 Kp/s avg); recv: 804 0 p/s (13 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.11%
 1:00 1% (2h08m left); send: 770726 12.7 Kp/s (12.8 Kp/s avg); recv: 804 0 p/s (13 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.10%
 1:01 1% (2h08m left); send: 785107 14.4 Kp/s (12.9 Kp/s avg); recv: 815 10 p/s (13 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.10%
 1:02 1% (2h08m left); send: 798930 13.8 Kp/s (12.9 Kp/s avg); recv: 831 15 p/s (13 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.10%
 1:03 1% (2h08m left); send: 811616 12.7 Kp/s (12.9 Kp/s avg); recv: 843 11 p/s (13 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.10%
 1:04 1% (2h08m left); send: 823389 11.8 Kp/s (12.9 Kp/s avg); recv: 851 7 p/s (13 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.10%
 1:05 1% (2h08m left); send: 836042 12.7 Kp/s (12.9 Kp/s avg); recv: 868 16 p/s (13 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.10%
 1:06 1% (2h08m left); send: 849177 13.1 Kp/s (12.9 Kp/s avg); recv: 868 0 p/s (13 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.10%
 1:07 1% (2h08m left); send: 863541 14.4 Kp/s (12.9 Kp/s avg); recv: 869 0 p/s (12 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.10%
 1:08 1% (2h08m left); send: 876950 13.4 Kp/s (12.9 Kp/s avg); recv: 869 0 p/s (12 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.10%
 1:09 1% (2h07m left); send: 891960 15.0 Kp/s (12.9 Kp/s avg); recv: 869 0 p/s (12 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.10%
 1:10 1% (2h07m left); send: 907193 15.2 Kp/s (13.0 Kp/s avg); recv: 869 0 p/s (12 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.10%
 1:11 1% (2h07m left); send: 922365 15.2 Kp/s (13.0 Kp/s avg); recv: 871 1 p/s (12 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.09%
 1:12 1% (2h07m left); send: 936489 14.1 Kp/s (13.0 Kp/s avg); recv: 871 0 p/s (12 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.09%
 1:13 1% (2h07m left); send: 950100 13.6 Kp/s (13.0 Kp/s avg); recv: 871 0 p/s (11 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.09%
