Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:seq:2061957441]-duplicate(,fragment{tcp:-1:False:28})-|",1,[-10]
-10.0,"[TCP:options-mss:39091]-fragment{tcp:-1:True}(drop,)-|",1,[-10]
-10.0,"[TCP:seq:200684386:0]-duplicate(duplicate,)-|",1,[-10]
-10.0,[TCP:options-mss:58856:1]-drop-|,1,[-10]
-10.0,[TCP:options-uto:149]-drop-|,1,[-10]
-10.0,[TCP:options-uto:103]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-md5header:514a28ab9641d002a6eba555bb711eb7:1]-tamper{TCP:options-uto:replace:239}(drop,)-|",1,[-10]
-10.0,"[TCP:sport:48075]-fragment{tcp:-1:False}(tamper{TCP:flags:corrupt},)-|[TCP:options-eol:]-tamper{TCP:options-altchksumopt:replace:}-|",1,[-10]
-10.0,[TCP:window:70]-tamper{TCP:options-mss:corrupt}-|,1,[-10]
-10.0,"[TCP:load:sy9tdgs11h]-fragment{tcp:30:True}(tamper{TCP:options-sack:replace:},)-|",1,[-10]
-10.0,[TCP:seq:1492630801:3]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:urgptr:39983]-tamper{TCP:reserved:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:reserved:2]-fragment{tcp:-1:False}(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-uto:59]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:dataofs:7]-tamper{TCP:flags:corrupt}(tamper{TCP:sport:replace:44106}(tamper{TCP:options-md5header:replace:d90e9e229e1988a5183bece72b27f5f9},),)-|",1,[-10]
-10.0,[TCP:flags:FA:1]-drop-|,1,[-10]
-10.0,"[TCP:urgptr:33312:2]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-md5header:d70ce4c249b241e8fe82a6b7d3d61dd3:4]-fragment{tcp:-1:False:35}(,tamper{TCP:options-altchksumopt:replace:})-|",1,[-10]
-10.0,[TCP:chksum:8191]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-10]
-10.0,"[TCP:options-md5header:3e50a23523e26eaeb8b89b7f471b3c54]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-wscale:109:0]-duplicate(tamper{TCP:window:replace:50},tamper{TCP:options-nop:corrupt})-|",1,[-10]
-10.0,[TCP:sport:16954]-duplicate-|,1,[-10]
-10.0,[TCP:urgptr:55303]-drop-|,1,[-10]
-10.0,"[TCP:options-mss:49602:3]-tamper{TCP:dport:replace:29993}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-altchksum:43]-duplicate(tamper{TCP:options-mss:replace:46804},)-|[TCP:options-nop:]-fragment{tcp:-1:True}-|",1,[-10]
-10.0,[TCP:flags:ECN:0]-drop-|,1,[-10]
-10.0,"[TCP:options-wscale:71]-tamper{TCP:flags:corrupt}(tamper{TCP:options-wscale:replace:149},)-|",1,[-10]
-10.0,[TCP:options-uto:59]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,"[TCP:options-altchksum:9]-tamper{TCP:options-wscale:replace:104}(duplicate,)-|",1,[-10]
-10.0,"[TCP:chksum:36799]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:window:120]-fragment{ip:-1:True:5}(,tamper{TCP:dataofs:corrupt})-|",1,[-10]
-10.0,"[TCP:dport:31447]-tamper{TCP:seq:corrupt}(fragment{tcp:-1:True}(,duplicate),)-|",1,[-10]
-10.0,"[TCP:load:vnhzkrk0gc:1]-duplicate(tamper{TCP:options-altchksumopt:replace:},)-|",1,[-10]
-10.0,"[TCP:dataofs:1]-tamper{TCP:options-mss:replace:41630}(drop,)-|",1,[-10]
-10.0,"[TCP:dataofs:2]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:seq:corrupt},)-|",1,[-10]
-10.0,"[TCP:reserved:0]-tamper{TCP:load:replace:}(fragment{tcp:-1:True},)-|[TCP:load:o2iqw60wl1:0]-duplicate-|",1,[-10]
-10.0,[TCP:load:]-tamper{TCP:options-altchksumopt:replace:}-|,1,[-10]
