Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:options-altchksum:129]-tamper{TCP:urgptr:replace:15844}(duplicate(drop,),)-|",1,[-10]
-10.0,"[TCP:chksum:3872]-tamper{TCP:reserved:corrupt}(tamper{TCP:options-sackok:corrupt},)-|",1,[-10]
-10.0,[TCP:options-md5header:f16692795b34932fbe00bd539caf10a6]-tamper{TCP:options-wscale:replace:97}-|,1,[-10]
-10.0,"[TCP:options-altchksum:185]-tamper{TCP:options-nop:replace:}(tamper{TCP:ack:replace:785112091}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:ack:319383581]-duplicate(tamper{TCP:chksum:replace:65126},)-|",1,[-10]
-10.0,"[TCP:dataofs:9:1]-fragment{tcp:-1:True}(duplicate,fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:options-md5header:4e94da505c9800ae3f3734f62e4aeb7e]-tamper{TCP:window:replace:60}(tamper{TCP:urgptr:replace:27789},)-|",1,[-10]
-10.0,"[TCP:urgptr:28810]-duplicate(,tamper{TCP:dataofs:corrupt}(tamper{TCP:load:replace:},))-|",1,[-10]
-10.0,"[TCP:sport:10750]-tamper{TCP:urgptr:replace:10233}(drop,)-|",1,[-10]
-10.0,[TCP:sport:12221:0]-tamper{TCP:options-altchksumopt:replace:}-|,1,[-10]
-10.0,"[TCP:options-md5header:0e8a322bdf390bdf34b672354dd29939:1]-tamper{TCP:window:corrupt}(tamper{TCP:urgptr:replace:34782},)-|",1,[-10]
-10.0,[TCP:options-uto:74]-drop-|,1,[-10]
-10.0,"[TCP:dataofs:7]-duplicate(tamper{TCP:options-uto:replace:216},duplicate)-|",1,[-10]
-10.0,"[TCP:options-nop:]-duplicate(,tamper{TCP:options-nop:corrupt})-|[TCP:reserved:5]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,"[TCP:options-altchksum:219]-tamper{TCP:options-nop:replace:}(tamper{TCP:seq:corrupt},)-|",1,[-10]
-10.0,"[TCP:urgptr:42278]-duplicate(,fragment{tcp:-1:False})-|[TCP:options-eol:]-duplicate-|",1,[-10]
-10.0,[TCP:sport:25707]-drop-|,1,[-10]
-10.0,"[TCP:options-wscale:205]-duplicate(tamper{TCP:options-altchksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-uto:215]-tamper{TCP:seq:replace:3727092959}(duplicate(tamper{TCP:flags:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-uto:49]-tamper{TCP:options-sackok:corrupt}(fragment{tcp:8:True},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:208201522:4]-tamper{TCP:ack:corrupt}(tamper{TCP:seq:corrupt}(tamper{TCP:options-altchksumopt:replace:},),)-|",1,[-10]
-10.0,"[TCP:options-timestamp:506247165:1]-duplicate(,drop)-|",1,[-10]
-10.0,"[TCP:options-uto:105:3]-tamper{TCP:window:replace:100}(tamper{TCP:options-uto:replace:78}(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,"[TCP:options-md5header:493fd3197af7c44c6323db4995867fef]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-10]
-10.0,[TCP:options-mss:1470]-duplicate-|,1,[-10]
-10.0,[TCP:chksum:39363]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-10]
-10.0,"[TCP:options-md5header:f619a84935b702e6b8f3719d1a899e6e]-duplicate(duplicate(,tamper{TCP:options-timestamp:replace:4262121855}),)-|",1,[-10]
-10.0,[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-altchksum:replace:8}-|,1,[-10]
-10.0,"[TCP:ack:3079002292]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-timestamp:replace:2583143720}(tamper{TCP:dataofs:replace:15}(duplicate,),),)-|",1,[-10]
-10.0,[TCP:window:170]-duplicate-|,1,[-10]
-10.0,"[TCP:window:100]-duplicate(duplicate,tamper{TCP:chksum:replace:43963})-|",1,[-10]
-10.0,[TCP:chksum:3752]-drop-|,1,[-10]
-10.0,"[TCP:window:70]-duplicate(tamper{TCP:options-uto:corrupt},tamper{TCP:seq:replace:401767099})-|",1,[-10]
-10.0,[TCP:options-mss:50251]-drop-|,1,[-10]
-10.0,"[TCP:seq:520741318]-tamper{TCP:sport:replace:6223}(fragment{ip:-1:True},)-|",1,[-10]
-10.0,[TCP:options-wscale:211]-tamper{TCP:dport:replace:62108}-|,1,[-10]
-10.0,[TCP:options-mss:63854:3]-drop-|,1,[-10]
-10.0,[TCP:window:140]-drop-|,1,[-10]
-10.0,"[TCP:urgptr:44599]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:seq:3661566522]-duplicate(fragment{tcp:-1:True:35},)-|",1,[-10]
-10.0,[TCP:window:10]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:seq:770012521:3]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,"[TCP:flags:SA]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-uto:203]-tamper{TCP:sport:corrupt}(tamper{TCP:sport:replace:17630},)-|",1,[-10]
-10.0,"[TCP:urgptr:20124]-fragment{tcp:24:False}(,tamper{TCP:chksum:replace:19986})-|",1,[-10]
-10.0,"[TCP:options-uto:36]-duplicate(tamper{TCP:ack:replace:295786860},)-|[TCP:options-sack:]-tamper{TCP:dataofs:replace:14}-|",1,[-10]
-10.0,"[TCP:load:]-tamper{TCP:seq:replace:3760280073}(duplicate(tamper{TCP:reserved:replace:4},),)-|",1,[-10]
-10.0,"[TCP:options-altchksum:214]-fragment{tcp:-1:True}(tamper{TCP:options-altchksumopt:replace:},)-|[TCP:options-sack:]-duplicate-|",1,[-10]
-10.0,"[TCP:options-altchksum:44]-duplicate(,fragment{tcp:-1:True})-|",1,[-10]
-10.0,[TCP:reserved:4]-duplicate-|,1,[-10]
