Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:urgptr:10467]-tamper{TCP:options-sack:corrupt}(tamper{TCP:ack:corrupt},)-|",1,[-10]
-10.0,"[TCP:reserved:4]-duplicate(,tamper{TCP:chksum:replace:2804})-|",1,[-10]
-10.0,"[TCP:options-md5header:d91d8f11c2712e4b5fbed4c5c1e7313d]-tamper{TCP:options-wscale:replace:147}(tamper{TCP:options-nop:corrupt}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,[TCP:seq:2739342481]-drop-|,1,[-10]
-10.0,"[TCP:options-altchksumopt:]-duplicate(tamper{TCP:options-altchksum:corrupt},)-|[TCP:load:2cfvlkanql]-fragment{tcp:-1:True}-|",1,[-10]
-10.0,[TCP:options-timestamp:1626832810]-duplicate-|,1,[-10]
-10.0,"[TCP:options-wscale:184]-fragment{ip:-1:False}(,drop)-|",1,[-10]
-10.0,"[TCP:options-md5header:b868f9cfbb7ecf531d8d88b70704aa76]-tamper{TCP:urgptr:replace:34549}(duplicate(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:options-mss:47824]-fragment{tcp:-1:True}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-md5header:3329f6048049635c6d95a4a9da3f2abd]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-sack:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:dport:55369:1]-tamper{TCP:options-sackok:corrupt}-|,1,[-10]
-10.0,"[TCP:dataofs:4]-tamper{TCP:window:replace:120}(tamper{TCP:sport:corrupt},)-|",1,[-10]
-10.0,"[TCP:sport:22741:3]-tamper{TCP:load:corrupt}(tamper{TCP:options-eol:corrupt},)-|[TCP:options-nop:]-tamper{TCP:options-uto:corrupt}-|",1,[-10]
-10.0,"[TCP:options-uto:91]-tamper{TCP:ack:replace:874289653}(fragment{tcp:-1:True}(,tamper{TCP:reserved:corrupt}),)-|",1,[-10]
-10.0,[TCP:ack:2725448906]-fragment{ip:-1:False}-|,1,[-10]
-10.0,[TCP:options-md5header:cc801c95d4e69213c6e1491f9c58281d]-tamper{TCP:options-sackok:corrupt}-|,1,[-10]
-10.0,"[TCP:options-uto:184:2]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:dataofs:7]-tamper{TCP:options-wscale:replace:183}(tamper{TCP:window:replace:30},)-|",1,[-10]
-10.0,[TCP:reserved:5]-duplicate-|,1,[-10]
-10.0,[TCP:options-md5header:e69a465c9e6798113371ce2d1ebb7b9f]-drop-|,1,[-10]
-10.0,[TCP:options-uto:251]-tamper{TCP:reserved:corrupt}-|,1,[-10]
-10.0,"[TCP:options-uto:144]-duplicate(,tamper{TCP:window:corrupt})-|",1,[-10]
-10.0,"[TCP:sport:47605]-fragment{tcp:-1:False}(,tamper{TCP:options-nop:replace:})-|",1,[-10]
-10.0,[TCP:options-timestamp:3561968783]-tamper{TCP:reserved:replace:5}-|,1,[-10]
