Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:load:]-|[TCP:options-altchksumopt:]-duplicate(,tamper{TCP:options-eol:corrupt})-|[TCP:options-altchksumopt:]-tamper{TCP:options-eol:corrupt}(tamper{TCP:options-uto:corrupt}(tamper{TCP:reserved:corrupt}(fragment{tcp:-1:True},),),)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:window:corrupt}(tamper{TCP:options-wscale:replace:80}(fragment{tcp:-1:False},),)-|",1,['-1000']
-1000.0,[TCP:options-nop::0]-fragment{tcp:-1:True:29}-|[TCP:flags:238]-fragment{tcp:-1:False}-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sack:replace:}(fragment{tcp:-1:False},)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-mss:corrupt}(tamper{TCP:chksum:corrupt}(duplicate(,fragment{tcp:-1:False}),),)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-wscale:replace:221}(tamper{TCP:options-nop:corrupt}(fragment{tcp:-1:False},),)-|",1,['-1000']
-1000.0,[TCP:dport:51866]-tamper{TCP:options-altchksum:corrupt}-|[TCP:flags:134]-drop-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-nop:corrupt}(tamper{TCP:window:replace:20}(fragment{tcp:-1:True},),)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-mss:corrupt}(tamper{TCP:chksum:corrupt}(duplicate,),)-|[TCP:options-eol:]-fragment{tcp:-1:False}-|",1,['-1000']
-1000.0,"[TCP:load:]-tamper{TCP:flags:replace:174}(fragment{ip:-1:False},)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:ack:corrupt}(tamper{TCP:chksum:corrupt}(fragment{tcp:-1:False},),)-|",1,['-1000']
-1000.0,"[TCP:flags:S:0]-duplicate(,duplicate)-|[TCP:options-sackok:]-tamper{TCP:options-mss:replace:58904}(fragment{tcp:-1:False},)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(duplicate(,tamper{TCP:window:replace:60}(tamper{TCP:options-uto:corrupt},)),drop)-|[TCP:flags:250]-tamper{TCP:chksum:corrupt}-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:load:corrupt}(tamper{TCP:flags:replace:367},)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(tamper{TCP:options-altchksumopt:corrupt},fragment{tcp:-1:False})-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt::0]-fragment{tcp:-1:True:31}(fragment{tcp:-1:True},)-|[TCP:options-sack:]-|",1,['-1000']
-1000.0,"[TCP:flags:S:0]-tamper{TCP:options-altchksum:corrupt}(duplicate,)-|[TCP:flags:251]-fragment{tcp:-1:False}-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:window:corrupt}(tamper{TCP:seq:replace:3931169764}(fragment{tcp:-1:True},),)-|[TCP:options-wscale:209]-duplicate-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-timestamp:corrupt}(fragment{tcp:-1:False},)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(,fragment{tcp:-1:True})-|",1,['-1000']
-1000.0,[TCP:options-sack:]-drop-|[TCP:options-sackok:]-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:reserved:corrupt}(duplicate(tamper{TCP:load:corrupt},fragment{tcp:-1:True}),)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksumopt:corrupt}(duplicate(duplicate(,drop),),)-|[TCP:flags:165]-tamper{TCP:options-md5header:corrupt}-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-duplicate(,fragment{tcp:-1:True})-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sackok:corrupt}(fragment{tcp:-1:False},)-|",1,['-1000']
-1000.0,"[TCP:load:__DNS_REQUEST__]-tamper{TCP:reserved:corrupt}(tamper{TCP:dport:replace:39708},)-|[TCP:options-nop:]-drop-|",1,['-1000']
-1000.0,[TCP:options-sack:]-fragment{tcp:-1:True:15}-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(fragment{tcp:-1:False},duplicate)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksumopt:corrupt}(duplicate(duplicate(,fragment{tcp:11:False:19}),tamper{TCP:options-nop:corrupt}),)-|[TCP:dataofs:2]-duplicate-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(duplicate(fragment{tcp:-1:False},),drop)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:window:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksumopt:corrupt}(duplicate(duplicate(fragment{tcp:-1:True},drop),tamper{TCP:options-nop:corrupt}),)-|",1,['-1000']
-1000.0,[TCP:flags:PA]-fragment{tcp:-1:False}-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:reserved:corrupt}-|[TCP:options-sackok:]-duplicate(fragment{tcp:-1:True},)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(tamper{TCP:flags:replace:26},)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(fragment{tcp:-1:True},duplicate(,duplicate))-|",1,['-1000']
-1000.0,[TCP:flags:152]-tamper{TCP:options-nop:replace:}-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:replace:3457856160}(drop,)-|",1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:urgptr:3434]-tamper{TCP:dport:corrupt}-|,1,['-1000']
-1000.0,[TCP:options-sack:]-tamper{TCP:flags:replace:72}-|,1,['-1000']
-1000.0,[TCP:options-sack:]-|[TCP:options-sackok:]-|,1,['-1000']
