Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:reserved:1]-tamper{TCP:reserved:corrupt}(drop,)-|",1,['-10']
-10.0,"[TCP:dport:12200]-tamper{TCP:options-md5header:corrupt}(drop,)-|",1,['-10']
-10.0,"[TCP:chksum:58134:0]-tamper{TCP:load:corrupt}(tamper{TCP:options-altchksum:corrupt}(fragment{ip:-1:True:5},),)-|",1,['-10']
-10.0,"[TCP:options-wscale:240]-tamper{TCP:chksum:corrupt}(fragment{tcp:-1:False}(,tamper{TCP:reserved:corrupt}),)-|",1,['-10']
-10.0,"[TCP:dataofs:7]-tamper{TCP:sport:corrupt}(fragment{tcp:-1:False},)-|[TCP:options-altchksumopt::0]-fragment{tcp:-1:False}-|",1,['-10']
-10.0,"[TCP:options-md5header:e7d2524434900055eed6e9423917aa32]-fragment{tcp:-1:False}(tamper{TCP:options-md5header:corrupt},)-|",1,['-10']
-10.0,"[TCP:dport:30018]-duplicate(fragment{tcp:-1:True},)-|",1,['-10']
-10.0,"[TCP:options-altchksum:132]-tamper{TCP:dport:replace:48586}(duplicate,)-|",1,['-10']
-10.0,[TCP:dport:43353]-duplicate-|,1,['-10']
-10.0,"[TCP:options-mss:37563:1]-tamper{TCP:options-timestamp:corrupt}(fragment{tcp:-1:False},)-|",1,['-10']
-10.0,"[TCP:seq:4072850684]-duplicate(duplicate,)-|",1,['-10']
-10.0,[TCP:urgptr:61695]-duplicate-|,1,['-10']
-10.0,"[TCP:options-mss:16087:0]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,['-10']
-10.0,[TCP:options-timestamp:2738759975:2]-tamper{TCP:flags:corrupt}-|,1,['-10']
-10.0,[TCP:options-mss:43644]-tamper{TCP:flags:replace:FSRAUC}-|,1,['-10']
-10.0,"[TCP:chksum:65452]-tamper{TCP:options-sack:replace:}(duplicate(,fragment{tcp:-1:True}),)-|",1,['-10']
-10.0,[TCP:dport:29500:0]-duplicate-|,1,['-10']
-10.0,"[TCP:options-altchksum:107]-fragment{tcp:-1:False}(tamper{TCP:sport:corrupt}(fragment{tcp:-1:False},),)-|",1,['-10']
-10.0,[TCP:ack:4219748265]-fragment{tcp:-1:False}-|,1,['-10']
-10.0,"[TCP:window:110]-fragment{tcp:-1:True}(,tamper{TCP:options-altchksum:replace:109})-|",1,['-10']
-10.0,[TCP:seq:1969324234]-duplicate-|,1,['-10']
-10.0,"[TCP:options-md5header:c1550ad281090070d515813ae65cdd5b]-tamper{TCP:options-altchksum:corrupt}(duplicate(fragment{tcp:-1:True},),)-|",1,['-10']
-10.0,"[TCP:seq:205257255]-fragment{ip:-1:False:7}(,tamper{TCP:options-eol:replace:})-|",1,['-10']
-10.0,"[TCP:options-altchksum:84]-tamper{TCP:dataofs:replace:15}(fragment{tcp:-1:True}(,duplicate),)-|",1,['-10']
-10.0,"[TCP:dport:47062]-duplicate(tamper{TCP:options-altchksumopt:replace:},fragment{tcp:-1:True})-|",1,['-10']
-10.0,"[TCP:options-uto:121]-duplicate(tamper{TCP:flags:replace:UEC},)-|",1,['-10']
-10.0,"[TCP:options-altchksum:206]-tamper{TCP:urgptr:corrupt}(duplicate,)-|",1,['-10']
-10.0,"[TCP:options-timestamp:2072371088]-duplicate(duplicate,drop)-|",1,['-10']
-10.0,[TCP:options-md5header:45cc01fef805ebd7536b6aaf7e39bd1f]-tamper{TCP:options-sack:corrupt}-|,1,['-10']
-10.0,"[TCP:dataofs:5]-duplicate(fragment{tcp:-1:True},tamper{TCP:options-altchksum:corrupt})-|",1,['-10']
-10.0,"[TCP:options-wscale:85]-duplicate(,tamper{TCP:options-wscale:corrupt})-|",1,['-10']
-10.0,[TCP:options-timestamp:1760971188]-tamper{TCP:options-eol:corrupt}-|,1,['-10']
-10.0,"[TCP:load:c20aqfj490]-tamper{TCP:options-uto:replace:56}(drop,)-|",1,['-10']
-10.0,"[TCP:chksum:4755]-tamper{TCP:sport:replace:40927}(tamper{TCP:options-eol:replace:},)-|",1,['-10']
-10.0,[TCP:chksum:62138]-tamper{TCP:options-sack:corrupt}-|,1,['-10']
-10.0,[TCP:options-wscale:246]-duplicate-|,1,['-10']
-10.0,"[TCP:options-timestamp:3725433539]-duplicate(,duplicate(drop,))-|",1,['-10']
-10.0,[TCP:options-timestamp:3901390343]-duplicate-|,1,['-10']
-10.0,"[TCP:urgptr:63498]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:options-sack:corrupt},)-|",1,['-10']
-10.0,[TCP:ack:658764720]-tamper{TCP:options-altchksum:replace:68}-|,1,['-10']
-10.0,[TCP:options-altchksum:161]-duplicate-|,1,['-10']
-10.0,[TCP:dataofs:13:0]-tamper{TCP:seq:corrupt}-|,1,['-10']
-10.0,[TCP:reserved:1]-tamper{TCP:options-md5header:replace:ccc4a217d5e82a20096aba7a3187b385}-|,1,['-10']
