Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-sackok:corrupt}-|,1,['-10']
-10.0,"[TCP:options-md5header:b02a77a084b382910baa615467647b04]-fragment{tcp:-1:False}(drop,)-|[TCP:options-altchksumopt:]-duplicate-|",1,['-10']
-10.0,"[TCP:chksum:20425:2]-tamper{TCP:options-sackok:corrupt}(drop,)-|",1,['-10']
-10.0,"[TCP:options-wscale:63]-tamper{TCP:options-timestamp:replace:1543161578}(tamper{TCP:reserved:replace:6}(tamper{TCP:options-sackok:replace:},),)-|",1,['-10']
-10.0,[TCP:options-altchksum:74]-drop-|,1,['-10']
-10.0,"[TCP:options-timestamp:131207310]-tamper{TCP:flags:replace:F}(tamper{TCP:options-sack:replace:}(duplicate,),)-|",1,['-10']
-10.0,"[TCP:options-timestamp:3472503079]-duplicate(fragment{tcp:53:True:41},)-|",1,['-10']
-10.0,[TCP:chksum:19675]-duplicate-|,1,['-10']
-10.0,"[TCP:options-mss:4735]-duplicate(,tamper{TCP:flags:replace:PAUN}(tamper{TCP:seq:replace:1017294487},))-|",1,['-10']
-10.0,"[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-mss:corrupt}(tamper{TCP:options-eol:corrupt},)-|",1,['-10']
-10.0,"[TCP:seq:763168414]-duplicate(tamper{TCP:options-wscale:replace:115},)-|",1,['-10']
-10.0,"[TCP:urgptr:50059:4]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-altchksum:corrupt},)-|",1,['-10']
-10.0,"[TCP:options-uto:97]-tamper{TCP:dataofs:replace:4}(fragment{tcp:-1:False},)-|",1,['-10']
-10.0,"[TCP:sport:20460]-duplicate(tamper{TCP:window:replace:50}(tamper{TCP:options-eol:corrupt},),)-|",1,['-10']
-10.0,"[TCP:window:60]-fragment{tcp:-1:False}(duplicate(,tamper{TCP:urgptr:replace:26674}),)-|",1,['-10']
-10.0,"[TCP:options-altchksum:200]-tamper{TCP:chksum:replace:29235}(drop,)-|",1,['-10']
-10.0,"[TCP:seq:996468846]-duplicate(,duplicate(tamper{TCP:options-timestamp:replace:3269758666},))-|",1,['-10']
-10.0,"[TCP:urgptr:23944]-tamper{TCP:options-altchksumopt:corrupt}(duplicate(,duplicate),)-|",1,['-10']
-10.0,"[TCP:reserved:4]-tamper{TCP:sport:replace:64512}(duplicate,)-|",1,['-10']
-10.0,"[TCP:options-uto:66:3]-fragment{ip:-1:True:5}(tamper{TCP:options-nop:replace:},)-|",1,['-10']
-10.0,[TCP:reserved:7]-duplicate-|,1,['-10']
-10.0,"[TCP:options-timestamp:3423477055]-tamper{TCP:window:replace:180}(fragment{tcp:8:False},)-|",1,['-10']
-10.0,"[TCP:reserved:2]-duplicate(fragment{tcp:-1:False},)-|",1,['-10']
-10.0,"[TCP:chksum:55002:4]-tamper{TCP:ack:replace:2093669844}(tamper{TCP:sport:corrupt},)-|",1,['-10']
-10.0,[TCP:options-wscale:191]-tamper{TCP:flags:replace:FSPAUE}-|,1,['-10']
-10.0,"[TCP:load:2zs6fuksuf]-fragment{tcp:-1:True:5}(tamper{TCP:options-sack:replace:},)-|",1,['-10']
-10.0,[TCP:options-md5header:50a23f98fd7dcb09f226d1b58d0f055b]-tamper{TCP:window:replace:140}-|,1,['-10']
-10.0,[TCP:reserved:7]-drop-|,1,['-10']
-10.0,"[TCP:options-sackok:]-tamper{TCP:options-wscale:replace:166}(tamper{TCP:options-altchksum:replace:55}(tamper{TCP:flags:replace:SPU},),)-|[TCP:options-timestamp:2695234205:4]-duplicate-|",1,['-10']
-10.0,[TCP:options-altchksum:194]-tamper{TCP:flags:corrupt}-|,1,['-10']
-10.0,[TCP:flags:RPN]-tamper{TCP:options-sack:corrupt}-|,1,['-10']
-10.0,[TCP:sport:7486]-fragment{tcp:-1:False}-|,1,['-10']
-10.0,"[TCP:options-altchksum:205]-duplicate(duplicate,tamper{TCP:options-eol:corrupt})-|",1,['-10']
-10.0,[TCP:options-md5header:ea165d018a03b3b29e2f82302f15c2e1:0]-duplicate-|,1,['-10']
-10.0,[TCP:options-altchksum:240]-fragment{tcp:-1:True}-|,1,['-10']
-10.0,"[TCP:ack:4133883441]-tamper{TCP:load:corrupt}(duplicate,)-|",1,['-10']
-10.0,"[TCP:options-md5header:3bc5de21f18e0ec23f272d6b2a118278]-tamper{TCP:window:replace:40}(tamper{TCP:flags:corrupt},)-|",1,['-10']
-10.0,"[TCP:sport:23650]-tamper{TCP:options-sack:corrupt}(fragment{tcp:-1:True}(,tamper{TCP:options-eol:replace:}),)-|",1,['-10']
-10.0,[TCP:dport:14700]-duplicate-|,1,['-10']
-10.0,"[TCP:options-mss:4613:3]-tamper{TCP:chksum:corrupt}(duplicate(,duplicate),)-|",1,['-10']
-10.0,"[TCP:options-wscale:140:2]-tamper{TCP:chksum:corrupt}(fragment{tcp:-1:True},)-|",1,['-10']
-10.0,"[TCP:flags:PAC]-fragment{tcp:-1:False}(duplicate,tamper{TCP:options-md5header:corrupt})-|",1,['-10']
-10.0,[TCP:sport:18765]-tamper{TCP:options-eol:replace:}-|,1,['-10']
-10.0,"[TCP:reserved:5]-tamper{TCP:options-mss:replace:60054}(fragment{tcp:-1:False:36},)-|",1,['-10']
-10.0,[TCP:options-mss:14813]-fragment{tcp:-1:False}-|,1,['-10']
-10.0,[TCP:flags:AEC:4]-tamper{TCP:sport:corrupt}-|,1,['-10']
-10.0,[TCP:options-md5header:0ccf1358ea3818601e47456434d481c6]-drop-|,1,['-10']
-10.0,[TCP:dport:54801]-fragment{tcp:-1:True}-|,1,['-10']
-10.0,[TCP:urgptr:25434]-tamper{TCP:urgptr:replace:4901}-|,1,['-10']
-10.0,[TCP:sport:36909:4]-fragment{tcp:-1:False}-|,1,['-10']
-10.0,[TCP:flags:P:4]-tamper{TCP:ack:replace:840028691}-|,1,['-10']
-10.0,[TCP:urgptr:61286]-tamper{TCP:options-eol:corrupt}-|,1,['-10']
-10.0,[TCP:options-timestamp:1806480105]-tamper{TCP:options-altchksum:corrupt}-|,1,['-10']
-10.0,[TCP:chksum:6350]-duplicate-|,1,['-10']
-10.0,[TCP:options-timestamp:472637266]-duplicate-|,1,['-10']
-10.0,[TCP:options-wscale:235]-tamper{TCP:options-nop:corrupt}-|,1,['-10']
-10.0,[TCP:options-md5header:5495dcf145fc4c2cd5cadbeaf5142987:4]-tamper{TCP:dport:replace:59928}-|,1,['-10']
-10.0,[TCP:window:70]-tamper{TCP:options-timestamp:corrupt}-|,1,['-10']
-10.0,[TCP:urgptr:32339:4]-duplicate-|,1,['-10']
-10.0,[TCP:options-md5header:ab8db67db3879e939ef463324fc5a582]-tamper{TCP:urgptr:replace:3162}-|,1,['-10']
-10.0,[TCP:options-mss:60054:2]-fragment{tcp:-1:True}-|,1,['-10']
-10.0,[TCP:dport:54801]-tamper{TCP:seq:replace:1350300058}-|,1,['-10']
-10.0,"[TCP:options-sackok:]-tamper{TCP:options-wscale:replace:166}(tamper{TCP:options-altchksum:replace:55},)-|[TCP:options-timestamp:2695234205:4]-|",1,['-10']
-10.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:options-nop:replace:},)-|[TCP:flags:FRC]-fragment{tcp:-1:True}-|",1,['-10']
-10.0,[TCP:options-altchksum:27:3]-tamper{TCP:ack:replace:1158456192}-|,1,['-10']
-10.0,[TCP:dataofs:3]-tamper{TCP:options-mss:corrupt}-|,1,['-10']
-10.0,[TCP:dport:42411]-tamper{TCP:options-wscale:replace:221}-|,1,['-10']
-10.0,[TCP:options-wscale:181]-tamper{TCP:flags:corrupt}-|,1,['-10']
-10.0,[TCP:window:160:0]-duplicate-|,1,['-10']
-10.0,"[TCP:options-nop:]-fragment{tcp:-1:False}(drop,)-|[TCP:urgptr:57576]-tamper{TCP:reserved:replace:2}-|",1,['-10']
-10.0,[TCP:options-md5header:0ccf1358ea3818601e47456434d481c6]-fragment{tcp:-1:False}-|,1,['-10']
-10.0,"[TCP:options-eol:]-fragment{tcp:44:False}(,tamper{TCP:options-mss:replace:36054})-|[TCP:flags:UEC]-duplicate-|",1,['-10']
-10.0,[TCP:dataofs:7]-drop-|,1,['-10']
-10.0,[TCP:options-mss:23921]-tamper{TCP:seq:replace:1149169359}-|,1,['-10']
-10.0,"[TCP:options-md5header:0ccf1358ea3818601e47456434d481c6]-tamper{TCP:options-nop:corrupt}(tamper{TCP:chksum:replace:53912},)-|",1,['-10']
-10.0,[TCP:sport:52728]-tamper{TCP:options-sack:replace:}-|,1,['-10']
-10.0,[TCP:load:__HTTP_REQUEST__]-tamper{TCP:options-altchksum:corrupt}-|,1,['-10']
-10.0,[TCP:options-md5header:55e8ba2d947f76d5b8d67acad01ce07c]-duplicate-|,1,['-10']
-10.0,[TCP:dport:54801]-duplicate-|,1,['-10']
-10.0,[TCP:sport:36909:4]-fragment{tcp:-1:True}-|,1,['-10']
-10.0,[TCP:options-sack:]-tamper{TCP:dataofs:corrupt}-|[TCP:options-altchksum:205]-tamper{TCP:flags:corrupt}-|,1,['-10']
-10.0,[TCP:urgptr:6527]-fragment{tcp:-1:False}-|,1,['-10']
-10.0,[TCP:dport:65514]-drop-|,1,['-10']
-10.0,[TCP:options-timestamp:4097518947]-tamper{TCP:ack:replace:2281782544}-|,1,['-10']
-10.0,[TCP:options-altchksum:153]-tamper{TCP:options-altchksum:corrupt}-|,1,['-10']
